Step	fmax
0	5.279122
1	4.10276
2	2.922131
3	2.003776
4	1.50045
5	0.974754
6	0.50934
7	0.535377
8	0.758757
9	0.840418
10	0.81639
11	0.769434
12	0.701728
13	0.616086
14	0.515959
15	0.405253
16	0.288805
17	0.236679
18	0.245789
19	0.245246
20	0.252004
21	0.325436
22	0.357365
23	0.328448
24	0.254167
25	0.180269
26	0.153679
27	0.145936
28	0.130871
29	0.125138
30	0.122851
31	0.119274
32	0.114185
33	0.107365
34	0.097973
35	0.086242
36	0.080656
37	0.072273
38	0.054786
39	0.052271
40	0.058395
41	0.07653
42	0.074482
43	0.068504
44	0.068781
45	0.069859
46	0.057386
47	0.040431
